"","source","no_rel","nbpc","year","date_deb","trait","lat","long","no_str","prof_moy","Tmp_fond","Sal_Fond","region","month","day","date","Label","bathymetry","Cfin_mg","Cgla_mg","Chyp_mg","temp","Cal_mg"
"38",16,15,39,2018,"2018-08-22",114,50.0453333333333,-58.8661666666667,801,279,6.69,34.63,"NGSL","08",NA,2018-08-22,"49654",276.372802734375,3269.38026955307,1508.40682194444,30618.3359370745,"3C",35396.123028572
"39",16,15,39,2018,"2018-08-23",117,49.8675,-59.2436666666667,812,260,6.84,34.73,"NGSL","08",NA,2018-08-23,"48813",241.129592895508,3341.46249497784,1461.99447280421,24573.9562030788,"3C",29377.4131708608
"40",16,15,39,2018,"2018-08-23",120,49.7643333333333,-59.3206666666667,812,249,6.8,34.67,"NGSL","08",NA,2018-08-23,"48543",245.0126953125,3329.61311130858,1403.45118094181,22614.6250356141,"3C",27347.6893278644
"41",16,15,39,2018,"2018-08-23",123,49.2865,-60.029,815,222,6.18,34.42,"NGSL","08",NA,2018-08-23,"47029",246.058502197266,3376.78278040984,1356.61265390268,16011.1066670193,"3C",20744.5021013318
"42",16,15,39,2018,"2018-08-24",126,49.49,-60.4243333333333,NA,295,NA,NA,"NGSL","08",NA,2018-08-24,"47745",294.553588867188,3296.96589840004,1478.28835593098,24350.1299106734,"3C",29125.3841650044
"43",16,15,39,2018,"2018-08-24",129,49.6786666666667,-60.1398333333333,833,76,0.71,31.96,"NGSL","08",NA,2018-08-24,"48268",86.2082366943359,1065.53134268295,552.210403294202,4143.71475485617,"3C",5761.45650083333
"44",16,15,39,2018,"2018-08-25",132,49.8293333333333,-61.0211666666667,827,183,4.41,33.8,"NGSL","08",NA,2018-08-25,"48792",181.857406616211,2894.2857602562,1808.9087750217,20353.2672727774,"3C",25056.4618080553
"45",16,15,39,2018,"2018-08-25",135,49.8426666666667,-61.5496666666667,827,161,3.74,33.6,"NGSL","08",NA,2018-08-25,"48785",162.201599121094,2695.83979340842,1920.31369300595,18254.3733843166,"3C",22870.526870731
"46",16,15,39,2018,"2018-08-26",138,50.084,-63.1498333333333,828,113,0.96,32.24,"NGSL","08",NA,2018-08-26,"49602",103.469200134277,1530.00576221628,1280.9611099783,11462.2934350883,"3C",14273.2603072828
"47",16,15,39,2018,"2018-08-26",141,49.9048333333333,-63.1693333333333,NA,205,NA,NA,"NGSL","08",NA,2018-08-26,"49042",177.163803100586,2850.81391281914,2199.253867386,23992.4572987316,"3C",29042.5250789367
"48",16,15,39,2018,"2018-08-26",144,49.7451666666667,-62.7188333333333,816,219,5.27,34.13,"NGSL","08",NA,2018-08-26,"48502",208.669998168945,3093.84545052829,1851.30204870964,24672.0362777999,"3C",29617.1837770378
"49",16,15,39,2018,"2018-08-27",147,49.5311666666667,-62.0071666666667,829,173,4.25,33.77,"NGSL","08",NA,2018-08-27,"47726",130.115905761719,1985.5234012522,1362.94376760242,11310.0368143577,"3C",14658.5039832123
"50",16,15,39,2018,"2018-08-27",150,49.1885,-61.223,829,105,0.4,32.34,"NGSL","08",NA,2018-08-27,"46770",104.194396972656,1469.2372317511,743.488255975747,4909.38390842304,"3C",7122.10939614989
"51",16,15,39,2018,"2018-08-27",153,49.135,-59.6051666666667,812,259,6.74,34.65,"NGSL","08",NA,2018-08-27,"46790",254.616104125977,3364.79293735526,1359.67941952139,15409.3163695113,"3C",20133.788726388
